title,description,pub_date,link,scraped_at
Iranian group could be labelled national threat under proposed new law,The government is introducing the National Security (State Threats) Bill which could become law within weeks.,"Tue, 09 Jun 2026 15:28:59 GMT",https://www.bbc.com/news/articles/cgqj8xzkqqyo?at_medium=RSS&at_campaign=rss,2026-06-09T17:25:44.180976
Hidden camera found in government building,"The complex is shared by the Ministry of Housing, Communities & Local Government and the Home Office.","Tue, 09 Jun 2026 15:35:05 GMT",https://www.bbc.com/news/articles/c802r4xnkrxo?at_medium=RSS&at_campaign=rss,2026-06-09T17:25:44.180983
300 migrants bound for UK kidnapped and threatened with kidney removal,"The Iraqi Kurds were captured by a militia who demanded a ransom of $5,000 (£3,700) per person.","Tue, 09 Jun 2026 05:00:06 GMT",https://www.bbc.com/news/articles/c8xwxdgvx8lo?at_medium=RSS&at_campaign=rss,2026-06-09T17:25:44.180990
Man who murdered partner and blew up home jailed,Clifton George stabbed Annabel Rook 31 times before starting a fire at their house in north London.,"Tue, 09 Jun 2026 13:47:15 GMT",https://www.bbc.com/news/articles/cddl4jq9d3do?at_medium=RSS&at_campaign=rss,2026-06-09T17:25:44.180996
Two reportedly killed as women take part in rare protest in Afghanistan,"The demonstration, in the western city of Herat, was broken up after police are alleged to have opened fire.","Tue, 09 Jun 2026 16:44:23 GMT",https://www.bbc.com/news/articles/c992vdk3g3yo?at_medium=RSS&at_campaign=rss,2026-06-09T17:25:44.181003
Construction on fire site by Glasgow Central Station might not start for several years,Glasgow City Council leader Susan Aitken says the planning and consultation process regarding the land is likely to last until about 2030.,"Tue, 09 Jun 2026 15:45:36 GMT",https://www.bbc.com/news/articles/cd7wx7409g7o?at_medium=RSS&at_campaign=rss,2026-06-09T17:25:44.181010
BBC News app,"Top stories, breaking news, live reporting, and follow news topics that match your interests","Wed, 30 Apr 2025 14:04:28 GMT",https://www.bbc.co.uk/news/10628994?at_medium=RSS&at_campaign=rss,2026-06-09T17:25:44.181017
Jess Phillips On The Explicit Image Ban For Children,Starmer has told tech firms to block naked images on phones for children.,"Mon, 08 Jun 2026 19:20:00 GMT",https://www.bbc.co.uk/sounds/play/p0nq8lpk?at_medium=RSS&at_campaign=rss,2026-06-09T17:25:44.181023
Americanswers… on 5 Live! Why did Trump walk out of his TV interview with Meet The Press?,And why is JD Vance posting about Henry Nowak?,"Mon, 08 Jun 2026 19:48:00 GMT",https://www.bbc.co.uk/sounds/play/p0nqvfkb?at_medium=RSS&at_campaign=rss,2026-06-09T17:25:44.181030
Stokes and alcohol give England another headache,"After an Ashes tour dogged by drinking controversies, is an incident in a London nightclub enough to cost Ben Stokes the England captaincy?","Tue, 09 Jun 2026 13:16:57 GMT",https://www.bbc.com/sport/cricket/articles/c4gydnq8qw2o?at_medium=RSS&at_campaign=rss,2026-06-09T17:25:44.181036
Risk of death to oldest man at World Cup - walking miracle Gordon,How Craig Gordon's career has been a series of comebacks and the 43-year-old's World Cup inclusion for Scotland seemed an impossible dream only a few months ago.,"Tue, 09 Jun 2026 15:10:56 GMT",https://www.bbc.com/sport/football/articles/c5yz5nnx2jro?at_medium=RSS&at_campaign=rss,2026-06-09T17:25:44.181042
What now for West Ham after Sullivan allegations?,"West Ham is a club in turmoil after co-chair David Sullivan stood down ahead of allegations about his private life, which he denies.","Tue, 09 Jun 2026 14:44:39 GMT",https://www.bbc.com/sport/football/articles/cdjke4r7dmeo?at_medium=RSS&at_campaign=rss,2026-06-09T17:25:44.181049
