title,description,pub_date,scraped_at
Trump says Iran shot down US helicopter and vows to respond,Two crew members of the Apache helicopter that crashed following the attack were rescued by an American sea drone.,"Tue, 09 Jun 2026 17:18:59 GMT",2026-06-09T17:25:44.188633
Men jailed for violence at Henry Nowak police protest,Disorder broke out in Southampton close to where the 18-year-old student was murdered.,"Tue, 09 Jun 2026 16:45:47 GMT",2026-06-09T17:25:44.188735
Israeli air strikes hit Lebanese city of Tyre despite Iranian warning to stop attacks,Iran warned Israel on Monday that it could resume hostilities if attacks on its Lebanese ally Hezbollah do not stop.,"Tue, 09 Jun 2026 15:15:29 GMT",2026-06-09T17:25:44.188749
Football regulator contacts West Ham over 'serious allegations' against Sullivan,"Multiple women accuse the billionaire of abusing his power and preying on them for sex, in some cases when they were in their late teens.","Tue, 09 Jun 2026 14:17:43 GMT",2026-06-09T17:25:44.188756
I have right papers and visa - barred referee Artan,"Somali referee Omar Artan says he was subjected to an 11-hour immigration interview before being denied entry to the United States for the World Cup despite holding the ""right papers"" and ""right visa"".","Tue, 09 Jun 2026 13:43:54 GMT",2026-06-09T17:25:44.188763
"Scrap legal equality duty for public services, says Badenoch","The Conservative leader says the rules have led to public bodies becoming ""institutionally incompetent"".","Tue, 09 Jun 2026 16:43:10 GMT",2026-06-09T17:25:44.188770
Carer 'who couldn't go on' jailed for killing her mother,Stefania Glowka pleaded guilty to the manslaughter of her mother based on diminished responsibility.,"Tue, 09 Jun 2026 14:37:22 GMT",2026-06-09T17:25:44.188777
Man who grabbed woman's hair and asked for kiss sentenced in legal first,David Stroud was convicted in a first-of-its-kind sex-based harassment prosecution in May.,"Tue, 09 Jun 2026 13:35:25 GMT",2026-06-09T17:25:44.188784
'Please send help': Crew's distress call after ship hit by US missile,The crew of a sanctioned oil tanker were rescued off Oman after it was struck by a missile fired from a US fighter jet.,"Tue, 09 Jun 2026 13:42:26 GMT",2026-06-09T17:25:44.188792
Stokes and drinking give England another headache,"After an Ashes tour dogged by drinking controversies, is an incident in a London nightclub enough to cost Ben Stokes the England captaincy?","Tue, 09 Jun 2026 13:16:57 GMT",2026-06-09T17:25:44.188801
Final piece of 'iconic' Denby Pottery signed,"The firm, founded in 1809, appointed administrators due to rising energy and labour costs.","Tue, 09 Jun 2026 13:04:34 GMT",2026-06-09T17:25:44.188810
"Murder of Lyhanna, 11, enrages France and turns up heat on government",Protesters are angry that the suspect had already been reported to police last August in a separate case.,"Tue, 09 Jun 2026 14:27:37 GMT",2026-06-09T17:25:44.188820
What now for West Ham after Sullivan allegations?,"West Ham is a club in turmoil after co-chair David Sullivan stood down ahead of allegations about his private life, which he denies.","Tue, 09 Jun 2026 14:44:39 GMT",2026-06-09T17:25:44.188829
